0.232	0.510
0.309	0.559
0.417	0.609
0.533	0.654
0.658	0.695
0.809	0.736
0.997	0.781
1.257	0.834
1.636	0.897
2.115	0.959
2.966	1.050
3.630	1.107
4.459	1.166
5.266	1.218
6.504	1.284
7.850	1.347
10.087	1.428
12.498	1.496
15.240	1.564
18.385	1.626
22.783	1.706
27.280	1.768
32.765	1.830
38.866	1.889
48.197	1.967
61.078	2.044
77.207	2.122
93.231	2.183
123.168	2.261
159.550	2.336
204.205	2.400
245.377	2.437
298.349	2.483
365.857	2.527
441.119	2.558
587.297	2.603
738.813	2.647
952.336	2.677
1202.959	2.698
1501.539	2.708
1939.021	2.717
2243.135	2.717
2760.561	2.717
3359.073	2.698
3895.268	2.678
