0.100	0.514
0.128	0.556
0.153	0.589
0.189	0.627
0.267	0.703
0.355	0.770
0.530	0.871
0.766	0.974
0.995	1.058
1.263	1.135
1.564	1.209
1.972	1.297
2.554	1.395
3.325	1.503
4.140	1.593
5.297	1.706
6.577	1.805
7.793	1.879
9.655	1.991
12.278	2.105
15.048	2.210
18.028	2.306
22.577	2.431
29.013	2.561
36.184	2.685
45.415	2.789
58.266	2.914
73.156	3.032
96.511	3.153
158.393	3.335
222.896	3.420
313.244	3.464
434.336	3.478
575.862	3.469
858.912	3.482
1211.818	3.492
1617.753	3.501
2249.463	3.508
2897.025	3.480
3850.029	3.446
