0.099	1.470
0.124	1.582
0.173	1.761
0.255	1.997
0.422	2.347
0.621	2.631
1.011	3.056
1.503	3.467
2.322	3.973
3.345	4.406
4.373	4.768
5.738	5.155
7.784	5.614
11.568	6.239
17.189	6.963
22.634	7.462
30.840	8.019
39.701	8.557
53.579	9.100
71.838	9.685
96.541	10.224
121.145	10.635
146.411	10.991
182.808	11.376
236.064	11.683
299.486	12.012
367.351	12.282
483.584	12.542
651.635	12.784
863.538	12.939
1175.116	12.999
1550.848	12.872
1962.296	12.764
2433.307	12.530
3090.491	12.270
3691.351	12.073
3964.617	11.976
